Data;Índice Geral de Preços do Mercado - IGP-M(200045);Índice Geral de Preços - IGP-DI (161384);IGP-M - Fechamento mensal (%)(1000367)
03/1992;4,501140E-002;4,862181E-002;21,39
04/1992;5,398610E-002;5,763629E-002;19,94
05/1992;6,501280E-002;7,057564E-002;20,43
06/1992;8,036150E-002;8,569295E-002;23,61
07/1992;9,790850E-002;1,042797E-001;21,84
08/1992;1,220220E-001;1,309128E-001;24,63
09/1992;1,528580E-001;1,667436E-001;25,27
10/1992;1,937650E-001;2,083295E-001;26,76
11/1992;2,391620E-001;2,587869E-001;23,43
12/1992;2,991330E-001;3,201194E-001;25,08
01/1993;3,763990E-001;4,120897E-001;25,83
02/1993;4,833390E-001;5,213346E-001;28,42
03/1993;6,102310E-001;6,663178E-001;26,25
04/1993;7,861810E-001;8,542861E-001;28,83
05/1993;1,019680E+000;1,129964E+000;29,70
06/1993;1,340830E+000;1,477089E+000;31,49
07/1993;1,759860E+000;1,949167E+000;31,25
08/1993;2,319240E+000;2,602722E+000;31,79
09/1993;3,137510E+000;3,565469E+000;35,28
10/1993;4,236800E+000;4,818376E+000;35,04
11/1993;5,768540E+000;6,599247E+000;36,15
12/1993;7,979250E+000;8,989495E+000;38,32
01/1994;1,109680E+001;1,278216E+001;39,07
02/1994;1,562190E+001;1,820307E+001;40,78
03/1994;2,276280E+001;2,636351E+001;45,71
04/1994;3,207490E+001;3,755746E+001;40,91
05/1994;4,573160E+001;5,293725E+001;42,58
06/1994;6,640820E+001;7,759542E+001;45,21
07/1994;9,296840E+001;9,676925E+001;40,00
08/1994;100,000;100,000;7,56
09/1994;101,751;101,549;1,75
10/1994;103,602;104,143;1,82
11/1994;106,553;106,720;2,85
12/1994;107,450;107,325;0,84
01/1995;108,442;108,785;0,92
02/1995;109,945;110,039;1,39
03/1995;111,178;112,035;1,12
04/1995;113,518;114,614;2,10
05/1995;114,171;115,071;0,58
06/1995;116,984;118,090;2,46
07/1995;119,114;120,733;1,82
08/1995;121,729;122,289;2,20
09/1995;120,869;120,967;-0,71
10/1995;121,503;121,241;0,52
11/1995;122,955;122,850;1,20
12/1995;123,833;123,187;0,71
01/1996;125,977;125,397;1,73
02/1996;127,202;126,353;0,97
03/1996;127,715;126,627;0,40
04/1996;128,130;127,509;0,32
05/1996;130,121;129,655;1,55
06/1996;131,445;131,240;1,02
07/1996;133,213;132,674;1,35
08/1996;133,587;132,679;0,28
09/1996;133,722;132,849;0,10
10/1996;133,978;133,141;0,19
11/1996;134,242;133,517;0,20
12/1996;135,225;134,689;0,73
01/1997;137,613;136,814;1,77
02/1997;138,204;137,390;0,43
03/1997;139,795;138,990;1,15
04/1997;140,742;139,807;0,68
05/1997;141,040;140,229;0,21
06/1997;142,090;141,207;0,74
07/1997;142,221;141,330;0,09
08/1997;142,353;141,268;0,09
09/1997;143,042;142,101;0,48
10/1997;143,567;142,587;0,37
11/1997;144,481;143,771;0,64
12/1997;145,695;144,765;0,84
01/1998;147,091;146,038;0,96
02/1998;147,356;146,067;0,18
03/1998;147,635;146,408;0,19
04/1998;147,821;146,211;0,13
05/1998;148,021;146,544;0,14
06/1998;148,588;146,951;0,38
07/1998;148,339;146,398;-0,17
08/1998;148,109;146,144;-0,16
09/1998;147,984;146,111;-0,08
10/1998;148,100;146,063;0,08
11/1998;147,628;145,797;-0,32
12/1998;148,291;147,231;0,45
01/1999;149,533;148,921;0,84
02/1999;154,933;155,528;3,61
03/1999;159,325;158,600;2,83
04/1999;160,459;158,647;0,71
05/1999;159,996;158,100;-0,29
06/1999;160,573;159,711;0,36
07/1999;163,060;162,253;1,55
08/1999;165,603;164,612;1,56
09/1999;167,997;167,028;1,45
10/1999;170,861;170,182;1,70
11/1999;174,939;174,496;2,39
12/1999;178,099;176,647;1,81
01/2000;180,301;178,454;1,24
02/2000;180,935;178,800;0,35
03/2000;181,214;179,128;0,15
04/2000;181,635;179,357;0,23
05/2000;182,189;180,563;0,31
06/2000;183,745;182,236;0,85
07/2000;186,634;186,353;1,57
08/2000;191,087;189,746;2,39
09/2000;193,297;191,049;1,16
10/2000;194,040;191,763;0,38
11/2000;194,599;192,506;0,29
12/2000;195,827;193,970;0,63
01/2001;197,045;194,920;0,62
02/2001;197,491;195,580;0,23
03/2001;198,606;197,151;0,56
04/2001;200,591;199,374;1,00
05/2001;202,324;200,251;0,86
06/2001;204,310;203,167;0,98
07/2001;207,341;206,450;1,48
08/2001;210,211;208,315;1,38
09/2001;210,853;209,111;0,31
10/2001;213,339;212,135;1,18
11/2001;215,685;213,756;1,10
12/2001;216,163;214,137;0,22
01/2002;216,944;214,535;0,36
02/2002;217,074;214,927;0,06
03/2002;217,276;215,170;0,09
04/2002;218,486;216,673;0,56
05/2002;220,292;219,070;0,83
06/2002;223,688;222,872;1,54
07/2002;228,057;227,441;1,95
08/2002;233,348;232,818;2,32
09/2002;238,943;238,973;2,40
10/2002;248,199;249,042;3,87
11/2002;261,080;263,580;5,19
12/2002;270,867;270,692;3,75
